# Residuals   
# Time        	k             	nut           	omega         	p             	Urelx         	Urely         
113           	6.707667e-02	N/A	2.548551e-03	1.756448e-02	1.186288e-02	1.656560e-02
114           	8.385853e-02	N/A	2.051091e-03	1.509858e-02	1.123657e-02	1.497893e-02
115           	5.980209e-02	N/A	2.118220e-03	1.470703e-02	1.170718e-02	1.320687e-02
116           	5.316943e-02	N/A	1.773146e-03	1.681913e-02	1.070591e-02	1.421049e-02
117           	7.547239e-02	N/A	1.839019e-03	1.979486e-02	1.124167e-02	1.599101e-02
118           	1.427360e-01	N/A	2.318514e-03	2.082337e-02	1.283200e-02	1.734008e-02
119           	7.596216e-02	N/A	2.841259e-03	1.948128e-02	1.237140e-02	1.792094e-02
120           	6.871942e-02	N/A	2.316805e-03	2.007602e-02	1.208293e-02	1.647035e-02
121           	6.350399e-02	N/A	2.003741e-03	1.961665e-02	1.154606e-02	1.579487e-02
122           	4.101705e-02	N/A	1.621348e-03	1.938853e-02	1.186150e-02	1.576986e-02
123           	8.577034e-02	N/A	1.719942e-03	1.869133e-02	1.196091e-02	1.553523e-02
124           	1.439715e-01	N/A	2.466481e-03	1.732388e-02	1.159933e-02	1.627871e-02
125           	7.877476e-02	N/A	2.649607e-03	1.503607e-02	1.219178e-02	1.482061e-02
126           	4.425098e-02	N/A	2.170105e-03	1.419368e-02	1.105192e-02	1.371398e-02
127           	5.881627e-02	N/A	1.635584e-03	1.635345e-02	1.090445e-02	1.388301e-02
128           	9.254024e-02	N/A	1.942366e-03	1.900397e-02	1.146814e-02	1.589290e-02
129           	9.828794e-02	N/A	2.324041e-03	2.045184e-02	1.295365e-02	1.775009e-02
130           	8.806833e-02	N/A	2.428033e-03	1.886154e-02	1.262340e-02	1.794282e-02
131           	5.814174e-02	N/A	2.327012e-03	1.973535e-02	1.172614e-02	1.710284e-02
132           	1.152310e-01	N/A	2.370272e-03	1.949175e-02	1.184487e-02	1.625669e-02
133           	6.258897e-02	N/A	2.451315e-03	1.956217e-02	1.249026e-02	1.637449e-02
134           	6.791716e-02	N/A	1.817710e-03	1.863921e-02	1.228423e-02	1.673907e-02
135           	8.594589e-02	N/A	1.937032e-03	1.736964e-02	1.241494e-02	1.668978e-02
136           	5.961905e-02	N/A	2.189337e-03	1.531973e-02	1.225082e-02	1.557996e-02
137           	5.062494e-02	N/A	1.928630e-03	1.413530e-02	1.160105e-02	1.412398e-02
138           	1.234918e-01	N/A	1.926306e-03	1.577995e-02	1.190336e-02	1.456175e-02
139           	8.909143e-02	N/A	2.484817e-03	1.894564e-02	1.197679e-02	1.676459e-02
140           	5.524781e-02	N/A	2.121374e-03	2.034598e-02	1.287949e-02	1.837584e-02
141           	4.142173e-02	N/A	1.856746e-03	1.872778e-02	1.295157e-02	1.855625e-02
142           	9.668808e-02	N/A	2.167038e-03	1.956569e-02	1.190695e-02	1.769215e-02
143           	7.037343e-02	N/A	2.616837e-03	1.955429e-02	1.325630e-02	1.687315e-02
