# Residuals   
# Time        	k             	nut           	omega         	p             	Urelx         	Urely         
10122         	5.435792e-05	N/A	7.118317e-06	1.399523e-03	5.491095e-05	5.606794e-05
10123         	5.435337e-05	N/A	6.907819e-06	1.186096e-03	5.565988e-05	5.528592e-05
10124         	5.434922e-05	N/A	7.171731e-06	1.378223e-03	5.536063e-05	5.557953e-05
10125         	5.434601e-05	N/A	7.121712e-06	1.311203e-03	5.513213e-05	5.579041e-05
10126         	5.434035e-05	N/A	6.936328e-06	1.201613e-03	5.488342e-05	5.603269e-05
10127         	5.433580e-05	N/A	7.180500e-06	1.406276e-03	5.559949e-05	5.529544e-05
10128         	5.433211e-05	N/A	7.006397e-06	1.313354e-03	5.529657e-05	5.558117e-05
10129         	5.432771e-05	N/A	6.848022e-06	1.210974e-03	5.504683e-05	5.582418e-05
10130         	5.432391e-05	N/A	7.138137e-06	1.367202e-03	5.511801e-05	5.573221e-05
10131         	5.431893e-05	N/A	6.839585e-06	1.272137e-03	5.494350e-05	5.589138e-05
10132         	5.431383e-05	N/A	6.928835e-06	1.174054e-03	5.563920e-05	5.521281e-05
10133         	5.430983e-05	N/A	7.111268e-06	1.382680e-03	5.541828e-05	5.536935e-05
10134         	5.430565e-05	N/A	6.728151e-06	1.213714e-03	5.511551e-05	5.565347e-05
10135         	5.430225e-05	N/A	6.933314e-06	1.163093e-03	5.497364e-05	5.579574e-05
10136         	5.429680e-05	N/A	7.007005e-06	1.348629e-03	5.476236e-05	5.601220e-05
10137         	5.429174e-05	N/A	6.686318e-06	1.162381e-03	5.566166e-05	5.509279e-05
10138         	5.428772e-05	N/A	6.969116e-06	1.245467e-03	5.541164e-05	5.531351e-05
10139         	5.428443e-05	N/A	7.005588e-06	1.319489e-03	5.510915e-05	5.561459e-05
10140         	5.427929e-05	N/A	6.620989e-06	1.129722e-03	5.483564e-05	5.586393e-05
10141         	5.427537e-05	N/A	7.015620e-06	1.302587e-03	5.519317e-05	5.547145e-05
10142         	5.427142e-05	N/A	6.928370e-06	1.238469e-03	5.491940e-05	5.573378e-05
10143         	5.426649e-05	N/A	6.764544e-06	1.185071e-03	5.513249e-05	5.558976e-05
10144         	5.426272e-05	N/A	7.018980e-06	1.385256e-03	5.514576e-05	5.544304e-05
10145         	5.425767e-05	N/A	6.981516e-06	1.250927e-03	5.492286e-05	5.568568e-05
10146         	5.425282e-05	N/A	6.735652e-06	1.242801e-03	5.553218e-05	5.514725e-05
10147         	5.424943e-05	N/A	7.092236e-06	1.357282e-03	5.523891e-05	5.536026e-05
10148         	5.424503e-05	N/A	6.790723e-06	1.160778e-03	5.492486e-05	5.567179e-05
10149         	5.424024e-05	N/A	6.895988e-06	1.250695e-03	5.488157e-05	5.568022e-05
10150         	5.423568e-05	N/A	7.081696e-06	1.379957e-03	5.526087e-05	5.530156e-05
10151         	5.423176e-05	N/A	6.675304e-06	1.217223e-03	5.506763e-05	5.548199e-05
10152         	5.422739e-05	N/A	6.925745e-06	1.251252e-03	5.487761e-05	5.565771e-05
10153         	5.422329e-05	N/A	6.949783e-06	1.321194e-03	5.508777e-05	5.542155e-05
10154         	5.421867e-05	N/A	6.551996e-06	1.161936e-03	5.490744e-05	5.558571e-05
10155         	5.421400e-05	N/A	7.022000e-06	1.225885e-03	5.526070e-05	5.522966e-05
10156         	5.421000e-05	N/A	6.775610e-06	1.293522e-03	5.516584e-05	5.529734e-05
10157         	5.420590e-05	N/A	6.694884e-06	1.145487e-03	5.491496e-05	5.553720e-05
10158         	5.420110e-05	N/A	6.977993e-06	1.234114e-03	5.478029e-05	5.565846e-05
10159         	5.419671e-05	N/A	6.681757e-06	1.251001e-03	5.525015e-05	5.517526e-05
10160         	5.419276e-05	N/A	6.820558e-06	1.104064e-03	5.503013e-05	5.536981e-05
10161         	5.418858e-05	N/A	6.976277e-06	1.269845e-03	5.482190e-05	5.556122e-05
10162         	5.418470e-05	N/A	6.711067e-06	1.186741e-03	5.495886e-05	5.543480e-05
10163         	5.417957e-05	N/A	6.985571e-06	1.128554e-03	5.476139e-05	5.561406e-05
10164         	5.417461e-05	N/A	6.834783e-06	1.312184e-03	5.533402e-05	5.497104e-05
10165         	5.417042e-05	N/A	6.838647e-06	1.140677e-03	5.519040e-05	5.511058e-05
10166         	5.416670e-05	N/A	6.930926e-06	1.205717e-03	5.501546e-05	5.536181e-05
10167         	5.416330e-05	N/A	6.804872e-06	1.254446e-03	5.476839e-05	5.558730e-05
10168         	5.415784e-05	N/A	6.989604e-06	1.124742e-03	5.456850e-05	5.575364e-05
10169         	5.415342e-05	N/A	6.892584e-06	1.243181e-03	5.523011e-05	5.497365e-05
10170         	5.414979e-05	N/A	6.831509e-06	1.206451e-03	5.507951e-05	5.519020e-05
10171         	5.414547e-05	N/A	7.019926e-06	1.160706e-03	5.477499e-05	5.549354e-05
10172         	5.414169e-05	N/A	6.844839e-06	1.259742e-03	5.478389e-05	5.546418e-05
10173         	5.413702e-05	N/A	6.804735e-06	1.127917e-03	5.493480e-05	5.530136e-05
10174         	5.413354e-05	N/A	6.905055e-06	1.187654e-03	5.487394e-05	5.531754e-05
10175         	5.412799e-05	N/A	6.914733e-06	1.149499e-03	5.457999e-05	5.561008e-05
10176         	5.412327e-05	N/A	6.709088e-06	1.203601e-03	5.543086e-05	5.475405e-05
10177         	5.411900e-05	N/A	6.948577e-06	1.144613e-03	5.514214e-05	5.502540e-05
10178         	5.411546e-05	N/A	6.875469e-06	1.156407e-03	5.485238e-05	5.529236e-05
10179         	5.411209e-05	N/A	6.699389e-06	1.190770e-03	5.458772e-05	5.554361e-05
10180         	5.410654e-05	N/A	7.033087e-06	1.124433e-03	5.444155e-05	5.567892e-05
10181         	5.410230e-05	N/A	6.770282e-06	1.171026e-03	5.532955e-05	5.476376e-05
10182         	5.409771e-05	N/A	6.794160e-06	1.177203e-03	5.503446e-05	5.506217e-05
10183         	5.409428e-05	N/A	6.981296e-06	1.131985e-03	5.486405e-05	5.520444e-05
10184         	5.409110e-05	N/A	6.784789e-06	1.199243e-03	5.455427e-05	5.551403e-05
10185         	5.408514e-05	N/A	6.821612e-06	1.160666e-03	5.437610e-05	5.567292e-05
10186         	5.408103e-05	N/A	6.986787e-06	1.179049e-03	5.533377e-05	5.469393e-05
10187         	5.407651e-05	N/A	6.745150e-06	1.200716e-03	5.499004e-05	5.504586e-05
10188         	5.407301e-05	N/A	6.888680e-06	1.151519e-03	5.481093e-05	5.518853e-05
10189         	5.406847e-05	N/A	6.944705e-06	1.200469e-03	5.450204e-05	5.549572e-05
10190         	5.406488e-05	N/A	6.828300e-06	1.190269e-03	5.483694e-05	5.516063e-05
10191         	5.405980e-05	N/A	6.837323e-06	1.165280e-03	5.462269e-05	5.533024e-05
10192         	5.405567e-05	N/A	6.890672e-06	1.195551e-03	5.498196e-05	5.498500e-05
10193         	5.405175e-05	N/A	6.763183e-06	1.165028e-03	5.470946e-05	5.524323e-05
10194         	5.404710e-05	N/A	6.793836e-06	1.127504e-03	5.452383e-05	5.539455e-05
10195         	5.404308e-05	N/A	6.854913e-06	1.165317e-03	5.502248e-05	5.487092e-05
10196         	5.403871e-05	N/A	6.772138e-06	1.110258e-03	5.478537e-05	5.509505e-05
10197         	5.403485e-05	N/A	6.736940e-06	1.138465e-03	5.473331e-05	5.518334e-05
10198         	5.403039e-05	N/A	6.839498e-06	1.127518e-03	5.449036e-05	5.535928e-05
10199         	5.402627e-05	N/A	6.697150e-06	1.133140e-03	5.490740e-05	5.493565e-05
10200         	5.402222e-05	N/A	6.689356e-06	1.105351e-03	5.465717e-05	5.516593e-05
10201         	5.401752e-05	N/A	6.789459e-06	1.124468e-03	5.450534e-05	5.529605e-05
10202         	5.401347e-05	N/A	6.715927e-06	1.105960e-03	5.489754e-05	5.490532e-05
10203         	5.400966e-05	N/A	6.753687e-06	1.083968e-03	5.471192e-05	5.508132e-05
10204         	5.400513e-05	N/A	6.771045e-06	1.161810e-03	5.451456e-05	5.525086e-05
10205         	5.400119e-05	N/A	6.713901e-06	1.118724e-03	5.475017e-05	5.500038e-05
10206         	5.399640e-05	N/A	6.715020e-06	1.090731e-03	5.456566e-05	5.517135e-05
10207         	5.399228e-05	N/A	6.722472e-06	1.154760e-03	5.492285e-05	5.479902e-05
10208         	5.398830e-05	N/A	6.739706e-06	1.074306e-03	5.467572e-05	5.503513e-05
10209         	5.398500e-05	N/A	6.768473e-06	1.141117e-03	5.449062e-05	5.520885e-05
10210         	5.397968e-05	N/A	6.699918e-06	1.177564e-03	5.428551e-05	5.540330e-05
10211         	5.397511e-05	N/A	6.859420e-06	1.114150e-03	5.509465e-05	5.457499e-05
10212         	5.397144e-05	N/A	6.729485e-06	1.156701e-03	5.475181e-05	5.489445e-05
10213         	5.396752e-05	N/A	6.730775e-06	1.131782e-03	5.448451e-05	5.515643e-05
10214         	5.396263e-05	N/A	6.812810e-06	1.099517e-03	5.438080e-05	5.524726e-05
10215         	5.395807e-05	N/A	6.762242e-06	1.240189e-03	5.496319e-05	5.467772e-05
10216         	5.395414e-05	N/A	6.832130e-06	1.143567e-03	5.472236e-05	5.489363e-05
10217         	5.395076e-05	N/A	6.817111e-06	1.198224e-03	5.446297e-05	5.514093e-05
10218         	5.394571e-05	N/A	6.746593e-06	1.173154e-03	5.423396e-05	5.535369e-05
10219         	5.394141e-05	N/A	6.824566e-06	1.191072e-03	5.492169e-05	5.463170e-05
10220         	5.393769e-05	N/A	6.703652e-06	1.231801e-03	5.469117e-05	5.485000e-05
10221         	5.393343e-05	N/A	6.878850e-06	1.174072e-03	5.446827e-05	5.512261e-05
10222         	5.392992e-05	N/A	6.767899e-06	1.235999e-03	5.443121e-05	5.508574e-05
10223         	5.392485e-05	N/A	6.708835e-06	1.213313e-03	5.426890e-05	5.525210e-05
10224         	5.392039e-05	N/A	6.864334e-06	1.136984e-03	5.500794e-05	5.452853e-05
10225         	5.391728e-05	N/A	6.569267e-06	1.245913e-03	5.473817e-05	5.476568e-05
10226         	5.391195e-05	N/A	6.814887e-06	1.145961e-03	5.441689e-05	5.507836e-05
10227         	5.390857e-05	N/A	6.755160e-06	1.246733e-03	5.441389e-05	5.493980e-05
10228         	5.390366e-05	N/A	6.625706e-06	1.191807e-03	5.433442e-05	5.516288e-05
10229         	5.389971e-05	N/A	6.854571e-06	1.156232e-03	5.470483e-05	5.468943e-05
10230         	5.389639e-05	N/A	6.640801e-06	1.190849e-03	5.456277e-05	5.488212e-05
10231         	5.389102e-05	N/A	6.703918e-06	1.118882e-03	5.428336e-05	5.514968e-05
10232         	5.388684e-05	N/A	6.761736e-06	1.227989e-03	5.475327e-05	5.457810e-05
10233         	5.388284e-05	N/A	6.609538e-06	1.176303e-03	5.448986e-05	5.485026e-05
10234         	5.387973e-05	N/A	6.841181e-06	1.118279e-03	5.430262e-05	5.504616e-05
10235         	5.387446e-05	N/A	6.619519e-06	1.230112e-03	5.405470e-05	5.529110e-05
10236         	5.386980e-05	N/A	6.778655e-06	1.127844e-03	5.501946e-05	5.432423e-05
10237         	5.386563e-05	N/A	6.730459e-06	1.189969e-03	5.474364e-05	5.457388e-05
10238         	5.386163e-05	N/A	6.626558e-06	1.236125e-03	5.445650e-05	5.483906e-05
10239         	5.385836e-05	N/A	6.811563e-06	1.093724e-03	5.427516e-05	5.500409e-05
10240         	5.385437e-05	N/A	6.634816e-06	1.266717e-03	5.406315e-05	5.521483e-05
10241         	5.384966e-05	N/A	6.794406e-06	1.188738e-03	5.453708e-05	5.475812e-05
10242         	5.384570e-05	N/A	6.741638e-06	1.169083e-03	5.448111e-05	5.471724e-05
10243         	5.384211e-05	N/A	6.622384e-06	1.245594e-03	5.425006e-05	5.495118e-05
10244         	5.383710e-05	N/A	6.825126e-06	1.176508e-03	5.411600e-05	5.510146e-05
10245         	5.383242e-05	N/A	6.662841e-06	1.215906e-03	5.500784e-05	5.424293e-05
10246         	5.382790e-05	N/A	6.669577e-06	1.230963e-03	5.475107e-05	5.446044e-05
10247         	5.382437e-05	N/A	6.828247e-06	1.171393e-03	5.447069e-05	5.470128e-05
10248         	5.382071e-05	N/A	6.603010e-06	1.216731e-03	5.417753e-05	5.497677e-05
10249         	5.381612e-05	N/A	6.724559e-06	1.184321e-03	5.403555e-05	5.509969e-05
10250         	5.381255e-05	N/A	6.694776e-06	1.273955e-03	5.451661e-05	5.459814e-05
10251         	5.380852e-05	N/A	6.562697e-06	1.222190e-03	5.425773e-05	5.486301e-05
10252         	5.380432e-05	N/A	6.675512e-06	1.258692e-03	5.427379e-05	5.485127e-05
10253         	5.380033e-05	N/A	6.613126e-06	1.189168e-03	5.429884e-05	5.478491e-05
10254         	5.379564e-05	N/A	6.546045e-06	1.112961e-03	5.415658e-05	5.491083e-05
10255         	5.379109e-05	N/A	6.656324e-06	1.225206e-03	5.471342e-05	5.434411e-05
10256         	5.378710e-05	N/A	6.513562e-06	1.165063e-03	5.449983e-05	5.454336e-05
10257         	5.378366e-05	N/A	6.553583e-06	1.172434e-03	5.423468e-05	5.478034e-05
10258         	5.377940e-05	N/A	6.563153e-06	1.240799e-03	5.400568e-05	5.500233e-05
10259         	5.377489e-05	N/A	6.653390e-06	1.090244e-03	5.432270e-05	5.468322e-05
10260         	5.377075e-05	N/A	6.512077e-06	1.190056e-03	5.454407e-05	5.443741e-05
10261         	5.376642e-05	N/A	6.621419e-06	1.179594e-03	5.432817e-05	5.463407e-05
10262         	5.376293e-05	N/A	6.560155e-06	1.121455e-03	5.423867e-05	5.472728e-05
10263         	5.375861e-05	N/A	6.513356e-06	1.259063e-03	5.399324e-05	5.495316e-05
10264         	5.375458e-05	N/A	6.654596e-06	1.244384e-03	5.445795e-05	5.446134e-05
10265         	5.375037e-05	N/A	6.660870e-06	1.133598e-03	5.426923e-05	5.463924e-05
10266         	5.374721e-05	N/A	6.497544e-06	1.240681e-03	5.419627e-05	5.470768e-05
10267         	5.374201e-05	N/A	6.769661e-06	1.205139e-03	5.392127e-05	5.498008e-05
10268         	5.373728e-05	N/A	6.564219e-06	1.224115e-03	5.465168e-05	5.422498e-05
10269         	5.373372e-05	N/A	6.542292e-06	1.223316e-03	5.437654e-05	5.448074e-05
10270         	5.373007e-05	N/A	6.768698e-06	1.277483e-03	5.408489e-05	5.477474e-05
